,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--2--3--0,10.0,32.0,7.0,8.0,7.0,18.0,7.0,215.0,17.0,16.0
0--2--3--1,2.0,6.0,3.0,3.0,17.0,3.0,17.0,5.0,1.0,6.0
0--2--3--2,15.0,13.0,8.0,13.0,8.0,6.0,11.0,190.0,9.0,24.0
0--2--3--3,8.0,1.0,2.0,0.0,0.0,2.0,2.0,27.0,0.0,21.0
0--3--0--0,24.0,20.0,19.0,284.0,35.0,9.0,65.0,18.0,14.0,13.0
0--3--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--3--0--2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--3--0--3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0--3--1--0,2.0,29.0,5.0,2.0,3.0,2.0,0.0,5.0,1.0,7.0
0--3--1--1,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
0--3--1--2,1.0,31.0,6.0,1.0,3.0,3.0,0.0,0.0,18.0,4.0
0--3--1--3,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0
0--3--2--0,14.0,16.0,10.0,16.0,296.0,10.0,16.0,18.0,33.0,7.0
0--3--2--1,2.0,18.0,1.0,1.0,1.0,2.0,1.0,15.0,17.0,1.0
0--3--2--2,9.0,18.0,15.0,12.0,187.0,14.0,49.0,91.0,8.0,43.0
0--3--2--3,2.0,3.0,1.0,3.0,4.0,9.0,1.0,0.0,3.0,20.0
0--3--3--0,1.0,39.0,2.0,2.0,9.0,0.0,4.0,0.0,0.0,2.0
0--3--3--1,2.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0
0--3--3--2,2.0,1.0,1.0,2.0,21.0,3.0,2.0,22.0,3.0,1.0
0--3--3--3,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
1--0--0--0,82.0,10.0,118.0,176.0,34.0,22.0,24.0,30.0,39.0,49.0
1--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1--0--1--0,8.0,4.0,12.0,30.0,2.0,4.0,12.0,8.0,6.0,9.0
1--0--1--1,0.0,1.0,2.0,7.0,5.0,0.0,0.0,1.0,4.0,0.0
1--0--1--2,1.0,3.0,5.0,2.0,2.0,4.0,0.0,11.0,30.0,11.0
1--0--1--3,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,3.0
1--0--2--0,11.0,17.0,322.0,11.0,19.0,37.0,20.0,27.0,14.0,17.0
1--0--2--1,2.0,3.0,26.0,5.0,2.0,3.0,6.0,23.0,2.0,6.0
1--0--2--2,21.0,17.0,329.0,18.0,15.0,48.0,16.0,19.0,27.0,17.0
1--0--2--3,3.0,4.0,47.0,2.0,3.0,0.0,0.0,2.0,9.0,3.0
1--0--3--0,13.0,3.0,1.0,3.0,0.0,27.0,15.0,3.0,0.0,2.0
1--0--3--1,0.0,0.0,0.0,2.0,1.0,6.0,3.0,5.0,0.0,0.0
1--0--3--2,3.0,3.0,3.0,2.0,4.0,23.0,1.0,25.0,1.0,3.0
1--0--3--3,0.0,1.0,1.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0
1--1--0--0,2120.0,4161.0,2269.0,38772.0,2074.0,2148.0,2129.0,2155.0,2090.0,2071.0
1--1--0--1,5.0,6.0,45.0,19.0,4.0,2.0,2.0,3.0,18.0,0.0
1--1--0--2,4.0,25.0,15.0,4.0,8.0,6.0,110.0,3.0,5.0,10.0
1--1--0--3,2.0,7.0,6.0,4.0,3.0,5.0,8.0,5.0,4.0,77.0
1--1--1--0,269.0,276.0,298.0,6295.0,282.0,250.0,241.0,251.0,246.0,277.0
1--1--1--1,61.0,75.0,554.0,56.0,62.0,52.0,832.0,47.0,59.0,60.0
1--1--1--2,255.0,262.0,307.0,232.0,261.0,214.0,259.0,268.0,6167.0,289.0
1--1--1--3,61.0,76.0,79.0,70.0,72.0,79.0,69.0,66.0,59.0,1501.0
1--1--2--0,1855.0,1804.0,1872.0,1902.0,1877.0,1878.0,36360.0,1880.0,1826.0,1826.0
1--1--2--1,261.0,229.0,243.0,236.0,241.0,365.0,249.0,244.0,5468.0,270.0
1--1--2--2,1904.0,1939.0,1915.0,1912.0,1896.0,37852.0,1925.0,1904.0,1812.0,1944.0
1--1--2--3,252.0,294.0,255.0,255.0,259.0,1022.0,280.0,258.0,275.0,5416.0
1--1--3--0,252.0,478.0,259.0,234.0,276.0,277.0,254.0,5467.0,302.0,254.0
1--1--3--1,92.0,51.0,62.0,60.0,75.0,66.0,56.0,1392.0,59.0,65.0
1--1--3--2,220.0,258.0,243.0,263.0,269.0,248.0,235.0,5793.0,224.0,237.0
1--1--3--3,41.0,46.0,64.0,52.0,56.0,58.0,60.0,56.0,47.0,1391.0
1--2--0--0,8855.0,8801.0,8854.0,95632.0,8943.0,8750.0,8834.0,8925.0,8847.0,9078.0
1--2--0--1,17.0,16.0,20.0,17.0,13.0,16.0,288.0,10.0,15.0,13.0
1--2--0--2,17.0,47.0,523.0,29.0,22.0,31.0,18.0,28.0,66.0,40.0
1--2--0--3,12.0,23.0,88.0,21.0,15.0,14.0,26.0,18.0,248.0,10.0
1--2--1--0,1147.0,1907.0,1124.0,1142.0,1127.0,1185.0,23629.0,1082.0,1161.0,1140.0
1--2--1--1,252.0,256.0,255.0,240.0,228.0,5700.0,231.0,257.0,268.0,248.0
1--2--1--2,1137.0,1174.0,1100.0,1160.0,1166.0,1667.0,1157.0,1200.0,23563.0,1084.0
1--2--1--3,254.0,266.0,320.0,276.0,274.0,1185.0,271.0,269.0,275.0,5474.0
1--2--2--0,7892.0,86118.0,7876.0,7795.0,7921.0,7786.0,7722.0,7817.0,7814.0,7760.0
1--2--2--1,1050.0,1047.0,1080.0,1019.0,988.0,1036.0,1052.0,1027.0,22353.0,1047.0
1--2--2--2,8116.0,88135.0,7966.0,7896.0,8203.0,7979.0,8025.0,8092.0,8004.0,8011.0
1--2--2--3,1149.0,1665.0,1097.0,1150.0,1136.0,1114.0,1146.0,1157.0,1151.0,23748.0
1--2--3--0,1064.0,1113.0,1066.0,1089.0,1068.0,1057.0,1102.0,23109.0,1173.0,1080.0
1--2--3--1,254.0,233.0,259.0,239.0,257.0,270.0,263.0,5829.0,226.0,258.0
1--2--3--2,1019.0,1329.0,1031.0,1053.0,1039.0,1013.0,1076.0,22230.0,1012.0,1054.0
1--2--3--3,252.0,568.0,234.0,248.0,310.0,249.0,243.0,2258.0,247.0,3241.0
1--3--0--0,1785.0,1871.0,1837.0,1888.0,1993.0,1832.0,36387.0,1876.0,1817.0,1886.0
1--3--0--1,0.0,2.0,9.0,4.0,43.0,0.0,0.0,4.0,5.0,5.0
1--3--0--2,1.0,4.0,7.0,3.0,118.0,3.0,3.0,4.0,8.0,14.0
1--3--0--3,5.0,1.0,2.0,6.0,68.0,2.0,1.0,1.0,1.0,11.0
1--3--1--0,240.0,237.0,207.0,225.0,5224.0,243.0,236.0,226.0,225.0,232.0
1--3--1--1,46.0,47.0,52.0,41.0,981.0,38.0,43.0,38.0,227.0,57.0
1--3--1--2,208.0,217.0,218.0,204.0,226.0,248.0,206.0,224.0,5313.0,217.0
1--3--1--3,64.0,46.0,54.0,45.0,137.0,62.0,51.0,88.0,63.0,1253.0
1--3--2--0,1566.0,1576.0,1638.0,1651.0,32583.0,1564.0,1636.0,1538.0,1640.0,1560.0
1--3--2--1,194.0,219.0,215.0,193.0,310.0,226.0,237.0,203.0,4847.0,220.0
1--3--2--2,1663.0,1698.0,1589.0,1671.0,33384.0,1671.0,1644.0,1648.0,1614.0,1652.0
1--3--2--3,252.0,222.0,240.0,222.0,212.0,229.0,233.0,235.0,235.0,5294.0
1--3--3--0,254.0,246.0,202.0,208.0,234.0,224.0,221.0,585.0,4716.0,237.0
1--3--3--1,60.0,46.0,50.0,54.0,50.0,45.0,46.0,1279.0,60.0,57.0
1--3--3--2,176.0,203.0,230.0,218.0,1219.0,196.0,228.0,3881.0,202.0,235.0
1--3--3--3,50.0,43.0,39.0,58.0,45.0,48.0,43.0,47.0,47.0,1143.0
2--0--0--0,195.0,511.0,110.0,1289.0,74.0,85.0,99.0,91.0,94.0,87.0
2--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2--0--0--2,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
2--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2--0--1--0,12.0,13.0,19.0,215.0,11.0,9.0,9.0,15.0,15.0,10.0
2--0--1--1,9.0,0.0,20.0,3.0,2.0,2.0,18.0,10.0,3.0,1.0
2--0--1--2,9.0,10.0,214.0,15.0,9.0,14.0,18.0,12.0,9.0,20.0
2--0--1--3,26.0,6.0,2.0,4.0,4.0,5.0,1.0,3.0,2.0,19.0
