,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
1--1--0--1,25.172,28.575,27.779,30.477,24.040,24.705,25.729,19.857,20.592,22.317,,168,200,164,3684,188,171,147,152,187,153,,4228.97,5714.91,4555.68,112275.57,4519.49,4224.51,3782.11,3018.34,3850.73,3414.47
1--1--0--2,23.684,27.711,27.317,19.096,22.993,22.997,27.078,18.823,23.068,23.127,,3126,53577,3034,3066,3214,3089,3077,3065,3054,3084,,74035.94,1484677.20,82881.17,58547.09,73899.33,71036.33,83318.73,57691.40,70451.10,71323.81
1--1--0--3,23.680,26.247,25.729,17.744,22.258,21.495,17.577,17.823,23.995,23.377,,151,3041,413,155,151,129,110,138,148,140,,3575.67,79816.38,10625.90,2750.36,3361.03,2772.84,1933.48,2459.53,3551.19,3272.78
1--1--1--0,24.781,28.566,31.070,31.421,24.451,27.090,26.722,22.546,23.305,19.296,,228,250,260,5704,251,256,220,223,219,221,,5649.96,7141.38,8078.31,179223.97,6137.15,6934.97,5878.84,5027.66,5103.79,4264.41
1--1--1--1,21.684,26.451,30.491,17.790,23.327,26.462,27.453,22.546,23.950,22.407,,30,29,786,29,38,37,67,37,29,29,,650.51,767.09,23965.69,515.90,886.44,979.09,1839.34,834.20,694.55,649.81
1--1--1--2,22.918,25.173,29.436,17.667,22.770,25.007,17.925,20.931,25.373,21.276,,142,133,3306,128,154,147,152,138,121,131,,3254.31,3347.96,97316.34,2261.35,3506.59,3675.96,2724.66,2888.45,3070.15,2787.17
1--1--1--3,22.100,24.476,28.478,16.811,21.407,24.170,17.652,16.969,17.422,22.364,,75,43,943,31,49,63,47,42,37,42,,1657.48,1052.47,26854.44,521.15,1048.95,1522.74,829.63,712.69,644.63,939.30
1--1--2--0,23.528,27.848,19.094,19.368,23.050,29.094,28.678,24.683,24.748,19.211,,1016,1023,1032,994,978,21407,1048,1022,1062,1007,,23904.58,28488.47,19705.43,19252.00,22542.68,622811.75,30054.88,25225.58,26282.02,19345.28
1--1--2--1,21.840,25.878,18.281,17.698,21.132,28.059,17.158,23.449,24.962,20.069,,107,131,119,109,111,2826,104,136,116,141,,2336.85,3389.98,2175.42,1929.04,2345.70,79294.28,1784.48,3189.00,2895.62,2829.71
1--1--2--2,21.786,25.148,17.099,17.196,20.627,27.031,16.935,23.331,16.702,20.713,,802,822,779,770,749,17913,809,753,806,775,,17472.30,20671.77,13319.81,13240.91,15449.98,484206.33,13700.75,17568.01,13461.92,16052.46
1--1--2--3,20.447,24.154,16.429,16.433,19.615,26.038,16.439,21.764,15.832,20.853,,222,181,169,168,148,3858,192,172,193,155,,4539.25,4371.90,2776.46,2760.76,2902.96,100453.74,3156.32,3743.47,3055.67,3232.29
1--1--3--0,22.795,25.616,18.300,17.430,20.795,18.608,15.996,27.325,26.113,17.786,,85,108,77,84,82,77,70,1693,67,71,,1937.60,2766.56,1409.11,1464.10,1705.21,1432.81,1119.69,46260.46,1749.57,1262.82
