,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
1--1--2--0,7.908,11.474,3.49,3.498,7.073,13.042,13.115,9.563,9.504,3.454,,591,590,565,572,582,652,13110,618,585,527,,4673.63,6769.66,1971.85,2000.86,4116.49,8503.38,171937.65,5909.93,5559.84,1820.26
1--1--2--1,7.321,10.758,2.191,2.143,6.54,12.065,2.414,8.347,10.197,4.529,,59,79,71,72,65,1668,70,84,87,81,,431.94,849.88,155.56,154.30,425.10,20124.42,168.98,701.15,887.14,366.85
1--1--2--2,5.936,9.534,1.348,1.624,5.026,11.106,1.554,7.642,1.519,5.369,,497,496,485,488,504,10394,501,468,487,425,,2950.19,4728.86,653.78,792.51,2533.10,115435.76,778.55,3576.46,739.75,2281.83
1--1--2--3,4.21,8.494,0.064,0.835,4.178,10.164,0.646,7.032,0.618,6.675,,89,83,117,96,82,2286,99,84,101,95,,374.69,705.00,7.49,80.16,342.60,23234.90,63.95,590.69,62.42,634.13
1--1--3--0,6.771,10.02,2.67,2.718,6.432,2.582,2.061,10.951,11.518,2.424,,51,55,55,44,38,36,64,77,949,52,,345.32,551.10,146.85,119.59,244.42,92.95,131.90,843.23,10930.58,126.05
1--1--3--1,5.962,9.264,0.409,1.774,5.438,1.657,1.488,10.557,1.248,3.007,,35,28,27,23,19,16,24,475,24,25,,208.67,259.39,11.04,40.80,103.32,26.51,35.71,5014.58,29.95,75.18
1--1--3--2,4.868,8.01,0.801,0.494,4.063,0.542,0.49,9.491,0.67,4.934,,95,143,102,81,113,79,110,2307,93,93,,462.46,1145.43,81.70,40.01,459.12,42.82,53.90,21895.74,62.31,458.86
1--1--3--3,4.116,7.629,-0.155,-1.204,2.519,-0.824,-1.138,8.737,0.674,5.092,,24,31,19,13,23,14,20,503,16,32,,98.78,236.50,-2.95,-15.65,57.94,-11.54,-22.76,4394.71,10.78,162.94
1--2--0--0,9.334,16.343,16.411,16.407,12.138,12.055,12.133,5.111,5.056,5.057,,3658,3665,48982,3791,3743,3608,3675,3673,3620,3713,,34143.77,59897.10,803843.60,62198.94,45432.53,43494.44,44588.78,18772.70,18302.72,18776.64
1--2--0--1,8.21,15.332,15.389,4.305,11.107,11.018,13.106,3.798,6.171,6.023,,420,753,8927,431,405,391,418,423,418,444,,3448.20,11545.00,137377.60,1855.46,4498.34,4308.04,5478.31,1606.55,2579.48,2674.21
1--2--0--2,7.412,14.385,14.447,3.113,10.076,10.078,3.083,3.109,7.066,7.082,,7646,7668,58048,7535,7526,7785,7818,7617,7606,7626,,56672.15,110304.18,838619.46,23456.46,75831.98,78457.23,24102.89,23681.25,53744.00,54007.33
1--2--0--3,6.237,13.18,13.333,2.169,9.368,9.006,2.174,2.021,8.044,8.038,,369,561,8097,345,350,369,378,350,345,381,,2301.45,7393.98,107957.30,748.31,3278.80,3323.21,821.77,707.35,2775.18,3062.48
1--2--1--0,8.407,15.393,4.131,4.092,11.266,14.186,14.045,7.287,7.144,4.241,,592,13549,566,605,621,654,605,612,612,612,,4976.94,208559.76,2338.15,2475.66,6996.19,9277.64,8497.23,4459.64,4372.13,2595.49
1--2--1--1,7.002,14.331,2.931,2.99,9.661,13.005,2.764,5.42,8.138,5.946,,94,1988,108,105,120,90,83,106,98,85,,658.19,28490.03,316.55,313.95,1159.32,1170.45,229.41,574.52,797.52,505.41
1--2--1--2,6.226,13.371,2.229,1.965,8.996,12.164,2.041,5.159,9.115,6.097,,364,8090,356,413,347,397,357,352,325,333,,2266.26,108171.39,793.52,811.55,3121.61,4829.11,728.64,1815.97,2962.38,2030.30
1--2--1--3,5.185,12.293,0.773,1.41,7.739,10.912,1.238,4.091,1.205,7.009,,109,2499,118,115,110,107,115,88,91,117,,565.17,30720.21,91.21,162.15,851.29,1167.58,142.37,360.01,109.66,820.05
1--2--2--0,7.342,14.407,3.124,3.153,10.029,3.065,3.05,9.043,9.062,3.155,,2547,39552,2486,2500,2555,2677,2561,2603,2511,2556,,18700.07,569825.66,7766.26,7882.50,25624.10,8205.01,7811.05,23538.93,22754.68,8064.18
1--2--2--1,6.257,13.446,2.053,2.109,9.118,2.003,2.079,8.365,9.916,3.901,,297,7014,349,294,331,323,326,315,274,301,,1858.33,94310.24,716.50,620.05,3018.06,646.97,677.75,2634.98,2716.98,1174.20
1--2--2--2,5.331,12.384,1.08,1.184,8.108,1.109,1.117,7.134,1.076,5.151,,2027,34505,2056,2003,2118,2050,2006,2017,2129,2118,,10805.94,427309.92,2220.48,2371.55,17172.74,2273.45,2240.70,14389.28,2290.80,10909.82
1--2--2--3,4.252,11.369,0.279,0.073,7.034,0.17,-0.18,6.018,0.098,6.118,,420,9701,413,429,456,425,448,441,442,429,,1785.84,110290.67,115.23,31.32,3207.50,72.25,-80.64,2653.94,43.32,2624.62
1--2--3--0,6.681,13.383,2.093,1.991,8.798,1.952,2.073,11.389,11.15,2.109,,161,4331,155,187,185,192,199,232,200,180,,1075.64,57961.77,324.42,372.32,1627.63,374.78,412.53,2642.25,2230.00,379.62
1--2--3--1,5.443,12.377,1.28,0.484,8.298,1.125,1.139,9.873,1.041,3.179,,108,2239,78,80,116,104,91,81,100,103,,587.84,27712.10,99.84,38.72,962.57,117.00,103.65,799.71,104.10,327.44
1--2--3--2,4.508,11.368,0.174,0.092,7.072,0.249,-0.045,9.178,0.046,4.008,,416,9402,464,412,371,377,392,434,423,417,,1875.33,106881.94,80.74,37.90,2623.71,93.87,-17.64,3983.25,19.46,1671.34
1--2--3--3,2.814,10.372,-0.931,-1.274,6.103,-1.022,-1.057,7.614,-0.915,5.228,,95,2214,84,96,93,97,85,99,94,90,,267.33,22963.61,-78.20,-122.30,567.58,-99.13,-89.85,753.79,-86.01,470.52
1--3--0--0,9.028,4.553,4.616,4.53,15.029,15.137,15.007,4.494,4.525,4.622,,765,738,727,712,1583,14713,765,756,747,739,,6906.42,3360.11,3355.83,3225.36,23790.91,222710.68,11480.36,3397.46,3380.18,3415.66
1--3--0--1,7.711,3.307,4.145,3.632,14.141,13.863,3.548,3.564,5.554,5.259,,86,98,72,85,1663,386,83,95,98,86,,663.15,324.09,298.44,308.72,23516.48,5351.12,294.48,338.58,544.29,452.27
1--3--0--2,6.953,2.522,2.471,2.455,13.132,13.064,2.483,2.533,6.634,6.433,,1576,1628,1611,1585,28618,2177,1591,1544,1590,1656,,10957.93,4105.82,3980.78,3891.18,375811.58,28440.33,3950.45,3910.95,10548.06,10653.05
1--3--0--3,5.881,1.783,1.251,1.6,11.675,12.065,1.252,1.819,7.156,7.498,,77,78,73,78,116,1641,72,77,92,75,,452.84,139.07,91.32,124.80,1354.30,19798.67,90.14,140.06,658.35,562.35
1--3--1--0,7.789,3.682,3.386,3.488,14.169,3.575,3.711,6.499,6.279,3.82,,118,125,108,112,2858,139,132,130,138,135,,919.10,460.25,365.69,390.66,40495.00,496.93,489.85,844.87,866.50,515.70
1--3--1--1,6.998,2.879,3.729,2.5,13.155,2.27,3.331,5.758,5.95,3.616,,26,17,12,12,413,13,16,22,19,22,,181.95,48.94,44.75,30.00,5433.02,29.51,53.30,126.68,113.05,79.55
1--3--1--2,5.756,1.564,1.573,1.48,12.109,1.734,1.168,4.796,8.97,5.734,,68,73,68,87,1736,68,72,65,58,66,,391.41,114.17,106.96,128.76,21021.22,117.91,84.10,311.74,520.26,378.44
1--3--1--3,5.194,0.105,1.263,0.886,10.99,-0.035,0.543,3.153,0.722,7.138,,17,32,16,21,492,18,17,20,26,15,,88.30,3.36,20.21,18.61,5407.08,-0.63,9.23,63.06,18.77,107.07
1--3--2--0,6.901,2.483,2.54,2.585,13.137,2.502,2.607,8.319,8.688,2.405,,497,587,533,531,11342,476,496,546,556,521,,3429.80,1457.52,1353.82,1372.64,148999.85,1190.95,1293.07,4542.17,4830.53,1253.01
1--3--2--1,5.905,1.364,1.745,1.598,12.066,1.662,0.773,7.569,9.243,3.889,,84,59,65,61,1436,65,57,64,78,67,,496.02,80.48,113.43,97.48,17326.78,108.03,44.06,484.42,720.95,260.56
1--3--2--2,4.76,0.52,0.514,0.471,11.042,0.172,0.384,6.535,0.72,4.457,,414,376,433,425,9236,411,410,373,394,417,,1970.64,195.52,222.56,200.18,101983.91,70.69,157.44,2437.56,283.68,1858.57
1--3--2--3,4.284,-0.265,-0.546,-0.906,10.161,-0.397,-0.518,5.942,-0.649,5.327,,82,85,85,95,1995,93,77,69,92,93,,351.29,-22.53,-46.41,-86.07,20271.20,-36.92,-39.89,410.00,-59.71,495.41
