,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
1--2--2--3,701.0,15593.0,679.0,674.0,770.0,725.0,694.0,718.0,717.0,700.0
1--2--3--0,313.0,7254.0,317.0,316.0,317.0,340.0,326.0,348.0,296.0,307.0
1--2--3--1,179.0,3742.0,154.0,169.0,163.0,145.0,160.0,158.0,155.0,156.0
1--2--3--2,667.0,15716.0,669.0,733.0,638.0,717.0,658.0,686.0,729.0,730.0
1--2--3--3,165.0,3564.0,161.0,152.0,142.0,141.0,169.0,166.0,151.0,171.0
1--3--0--0,1264.0,1201.0,1228.0,1219.0,7294.0,2663.0,18589.0,1209.0,1207.0,1172.0
1--3--0--1,167.0,138.0,132.0,117.0,2796.0,692.0,148.0,140.0,170.0,178.0
1--3--0--2,2653.0,2510.0,2566.0,2537.0,34035.0,16129.0,2528.0,2564.0,2504.0,2577.0
1--3--0--3,122.0,104.0,125.0,132.0,125.0,2923.0,125.0,149.0,120.0,127.0
1--3--1--0,202.0,197.0,200.0,188.0,4908.0,201.0,208.0,206.0,220.0,191.0
1--3--1--1,36.0,26.0,38.0,29.0,746.0,23.0,23.0,29.0,34.0,36.0
